# Übersetzungstabelle des Spiels.
# Format:  "<deutscher Quelltext>","<englisch>","<spanisch>","<französisch>"
# Deutsch ist die Quellsprache (= Fallback) und steht direkt im Code – darum gibt es
# hier nur die Zielsprachen en/es/fr. Geladen zur Laufzeit von scripts/Localization.gd.
# Fehlt eine es/fr-Zelle, greift automatisch der Fallback (Englisch).
# Zeilen, die mit # beginnen, sind Kommentare. \n im Text = Zeilenumbruch.
key,en,es,fr

# ── Hauptmenü ─────────────────────────────────────────────────────────────────
"ROGUELIKE RENNSPIEL","ROGUELIKE RACING GAME","JUEGO DE CARRERAS ROGUELIKE","JEU DE COURSE ROGUELIKE"
"SPIELEN","PLAY","JUGAR","JOUER"
"PROFIL","PROFILE","PERFIL","PROFIL"
"Profil %d","Profile %d","Perfil %d","Profil %d"
"Profil umbenennen","Rename profile","Renombrar perfil","Renommer le profil"
"PROFIL UMBENENNEN","RENAME PROFILE","RENOMBRAR PERFIL","RENOMMER LE PROFIL"
"Name eingeben...","Enter name...","Introduce un nombre...","Saisir un nom..."
"NEUES SPIEL","NEW GAME","NUEVA PARTIDA","NOUVELLE PARTIE"
"SPIEL LADEN","LOAD GAME","CARGAR PARTIDA","CHARGER LA PARTIE"
"Spiel laden","Load game","Cargar partida","Charger la partie"
"LEER","EMPTY","VACÍO","VIDE"
"Leer","Empty","Vacío","Vide"
"Kostenlos","Free","Gratis","Gratuit"

# ── Allgemeine Buttons / Aktionen ─────────────────────────────────────────────
"Speichern","Save","Guardar","Enregistrer"
"SPEICHERN","SAVE","GUARDAR","ENREGISTRER"
"Abbrechen","Cancel","Cancelar","Annuler"
"ABBRECHEN","CANCEL","CANCELAR","ANNULER"
"Löschen","Delete","Eliminar","Supprimer"
"LÖSCHEN","DELETE","ELIMINAR","SUPPRIMER"
"ZURÜCK","BACK","ATRÁS","RETOUR"
"Beenden","Quit","Salir","Quitter"
"BEENDEN","QUIT","SALIR","QUITTER"
"Weiterspielen","Resume","Continuar","Reprendre"
"Spiel beenden","Quit game","Salir del juego","Quitter le jeu"
"SPIEL BEENDEN","QUIT GAME","SALIR DEL JUEGO","QUITTER LE JEU"
"Fortschritt zurücksetzen","Reset progress","Reiniciar progreso","Réinitialiser la progression"
"← ZURÜCK","← BACK","← ATRÁS","← RETOUR"
"←  Zurück","←  Back","←  Atrás","←  Retour"
"← Zurück zum Bauplan","← Back to blueprint","← Volver al plano","← Retour au plan"
"Zurück zum Bauplan","Back to blueprint","Volver al plano","Retour au plan"
"Zurück zum Hauptmenü","Back to main menu","Volver al menú principal","Retour au menu principal"
"ZURÜCK ZUM HAUPTMENÜ","BACK TO MAIN MENU","VOLVER AL MENÚ PRINCIPAL","RETOUR AU MENU PRINCIPAL"
"ZURÜCK ZUM DESKTOP","BACK TO DESKTOP","VOLVER AL ESCRITORIO","RETOUR AU BUREAU"
"  ÜBERNEHMEN","  APPLY","  APLICAR","  APPLIQUER"
" Gespeichert!"," Saved!"," ¡Guardado!"," Enregistré !"
"  Änderungen werden automatisch gespeichert","  Changes are saved automatically","  Los cambios se guardan automáticamente","  Les modifications sont enregistrées automatiquement"
"Dein Spielstand wurde gespeichert.","Your game has been saved.","Tu partida se ha guardado.","Ta partie a été enregistrée."
"Der Betrag wurde deinem Konto gutgeschrieben.","The amount has been credited to your account.","El importe se ha abonado en tu cuenta.","Le montant a été crédité sur ton compte."

# ── Speicher-/Bestätigungs-Dialoge ────────────────────────────────────────────
"UMBENENNEN","RENAME","RENOMBRAR","RENOMMER"
"LÖSCHEN?","DELETE?","¿ELIMINAR?","SUPPRIMER ?"
"ÜBERSCHREIBEN?","OVERWRITE?","¿SOBRESCRIBIR?","ÉCRASER ?"
"ÜBERNEHMEN?","APPLY?","¿APLICAR?","APPLIQUER ?"
"ÄNDERUNGEN VERWERFEN?","DISCARD CHANGES?","¿DESCARTAR CAMBIOS?","ANNULER LES MODIFICATIONS ?"
"Nicht gespeicherte Einstellungen\ngehen verloren.","Unsaved settings\nwill be lost.","Los ajustes no guardados\nse perderán.","Les réglages non enregistrés\nseront perdus."
"Die Änderungen werden gespeichert\nund die Einstellungen geschlossen.","The changes will be saved\nand the settings closed.","Los cambios se guardarán\ny se cerrarán los ajustes.","Les modifications seront enregistrées\net les réglages fermés."
"Dieser Spielstand wird\nunwiderruflich gelöscht.","This save will be\npermanently deleted.","Esta partida se\neliminará de forma permanente.","Cette sauvegarde sera\nsupprimée définitivement."
"Dieser Spielstand wird\nunwiderruflich überschrieben.","This save will be\npermanently overwritten.","Esta partida se\nsobrescribirá de forma permanente.","Cette sauvegarde sera\nécrasée définitivement."
"Spielstand löschen","Delete save","Eliminar partida","Supprimer la sauvegarde"
"SPIELSTAND LÖSCHEN?","DELETE SAVE?","¿ELIMINAR PARTIDA?","SUPPRIMER LA SAUVEGARDE ?"
"Das Profil „%s“ wird\nunwiderruflich gelöscht.","The profile „%s“ will be\npermanently deleted.","El perfil «%s» se\neliminará de forma permanente.","Le profil « %s » sera\nsupprimé définitivement."

# ── Credits ───────────────────────────────────────────────────────────────────
"Credits","Credits","Créditos","Crédits"
"DEV TEAM","DEV TEAM","EQUIPO DE DESARROLLO","ÉQUIPE DE DÉVELOPPEMENT"
"MITWIRKENDE","CONTRIBUTORS","COLABORADORES","CONTRIBUTEURS"
"TESTER","TESTERS","PROBADORES","TESTEURS"
"Audio: Tessemi","Audio: Tessemi","Audio: Tessemi","Audio : Tessemi"
"2D Pixelart: RaccoonDog","2D Pixelart: RaccoonDog","Pixel art 2D: RaccoonDog","Pixel art 2D : RaccoonDog"
"3D Models: Tessemi","3D Models: Tessemi","Modelos 3D: Tessemi","Modèles 3D : Tessemi"

# ── Fehler melden (Bug-Report) ────────────────────────────────────────────────
"Fehler melden","Report a bug","Reportar un error","Signaler un bug"
"FEHLER MELDEN","REPORT A BUG","REPORTAR UN ERROR","SIGNALER UN BUG"
"Beschreibe den Fehler und klicke auf Senden!","Describe the bug and click Send!.","¡Describe el error y haz clic en Enviar!","Décris le bug et clique sur Envoyer !"
"Bitte erkläre uns kurz den Fehler oder schreibe uns einen Verbesserungsvorschlag!","Please briefly explain the error or send us a suggestion for improvement.","Explícanos brevemente el error o envíanos una sugerencia de mejora.","Explique-nous brièvement le bug ou envoie-nous une suggestion d'amélioration."
"Senden","Send","Enviar","Envoyer"
"SENDEN","SEND","ENVIAR","ENVOYER"
"Senden…","Sending…","Enviando…","Envoi…"
"Gesendet! Danke.","Sent! Thank you.","¡Enviado! Gracias.","Envoyé ! Merci."
"Senden fehlgeschlagen. Bitte später erneut.","Sending failed. Please try again later.","Error al enviar. Inténtalo más tarde.","Échec de l'envoi. Réessaie plus tard."
"Kein Webhook konfiguriert.","No webhook configured.","No hay webhook configurado.","Aucun webhook configuré."

# ── Pause-Menü ────────────────────────────────────────────────────────────────
"PAUSE","PAUSE","PAUSA","PAUSE"
"EINSTELLUNGEN","SETTINGS","AJUSTES","PARAMÈTRES"
"Einstellungen","Settings","Ajustes","Paramètres"
"OPTIONEN","OPTIONS","OPCIONES","OPTIONS"
"Optionen","Options","Opciones","Options"
"Pause-Menü","Pause menu","Menú de pausa","Menu pause"

# ── Einstellungen: Kategorien & Felder ────────────────────────────────────────
"Allgemein","General","General","Général"
"Allgemeines","General","General","Général"
"Anzeige","Display","Pantalla","Affichage"
"Steuerung","Controls","Controles","Commandes"
"SPRACHE","LANGUAGE","IDIOMA","LANGUE"
"Sprache:","Language:","Idioma:","Langue :"
"LAUTSTÄRKE","VOLUME","VOLUMEN","VOLUME"
"Master:","Master:","Maestro:","Principal :"
"Musik:","Music:","Música:","Musique :"
"Effekte:","Effects:","Efectos:","Effets :"
"ANZEIGEMODUS","DISPLAY MODE","MODO DE PANTALLA","MODE D'AFFICHAGE"
"Modus:","Mode:","Modo:","Mode :"
"Fenster","Window","Ventana","Fenêtre"
"Vollbild (Rahmenlos)","Borderless Fullscreen","Pantalla completa (sin bordes)","Plein écran (sans bordure)"
"Vollbild (Exklusiv)","Exclusive Fullscreen","Pantalla completa (exclusiva)","Plein écran (exclusif)"
"Bildschirmauflösung:","Screen resolution:","Resolución de pantalla:","Résolution d'écran :"
"Standard","Standard","Estándar","Standard"
"""Renn""auto","""Race""car","""Coche"" de carreras","""Voiture"" de course"
"Frosch","Frog","Rana","Grenouille"
"Blender-Auto","Blender car","Coche Blender","Voiture Blender"
"Letztes Auto erreicht","Last car reached","Último coche alcanzado","Dernière voiture atteinte"
"STEUERUNG","CONTROLS","CONTROLES","COMMANDES"
"STEUERUNGSART","CONTROL TYPE","TIPO DE CONTROL","TYPE DE COMMANDE"
"MOBILE-EINSTELLUNGEN","MOBILE SETTINGS","AJUSTES MÓVILES","PARAMÈTRES MOBILES"
"Platzierung:","Placement:","Colocación:","Placement :"
"Klick modus","Click mode","Modo clic","Mode clic"
"Drag & Drop","Drag & Drop","Arrastrar y soltar","Glisser-déposer"
"Mobile","Mobile","Móvil","Mobile"
"Touch-Bedienung fürs Handy: Ziehen & Ablegen plus optionaler Drehen-Knopf.","Touch control for mobile: drag & drop plus an optional rotate button.","Control táctil para el móvil: arrastrar y soltar más un botón de giro opcional.","Commande tactile pour mobile : glisser-déposer plus un bouton de rotation optionnel."
"Drehen-Knopf:","Rotate button:","Botón de giro:","Bouton de rotation :"
"An","On","Activado","Activé"
"Aus","Off","Desactivado","Désactivé"
"Langsam","Slow","Lento","Lent"
"CHEAT-MODUS","CHEAT MODE","MODO TRAMPA","MODE TRICHE"
"Cheat-Modus:","Cheat mode:","Modo trampa:","Mode triche :"
"Zeigt den Endlos-Modus () und den +1B  Button in der oberen Leiste an.","Shows endless mode () and the +1B  button in the top bar.","Muestra el modo infinito () y el botón +1B  en la barra superior.","Affiche le mode infini () et le bouton +1B  dans la barre supérieure."
"Zeigt im 2D-Bauplan einen ↻-Knopf zum Drehen. Im Mobile-Modus standardmäßig an, in den anderen Modi deaktiviert.","Shows a ↻ rotate button in the 2D blueprint. On by default in mobile mode, off in the other modes.","Muestra un botón de giro ↻ en el plano 2D. Activado por defecto en modo móvil, desactivado en los demás modos.","Affiche un bouton de rotation ↻ dans le plan 2D. Activé par défaut en mode mobile, désactivé dans les autres modes."
"[R] Drehen · [D] Löschen\nKlick-Modus","[R] Rotate · [D] Delete\nClick mode","[R] Girar · [D] Eliminar\nModo clic","[R] Pivoter · [D] Supprimer\nMode clic"
"[R] Drehen\nZiehen & Ablegen","[R] Rotate\nDrag & drop","[R] Girar\nArrastrar y soltar","[R] Pivoter\nGlisser-déposer"
"Ziehe Teile direkt aus der Palette auf das Baufeld – beim Loslassen wird gesetzt.","Drag parts directly from the palette onto the build grid – placed on release.","Arrastra piezas directamente desde la paleta a la cuadrícula – se colocan al soltar.","Glisse les pièces directement depuis la palette sur la grille – placées au relâchement."
"Wähle ein Teil in der Palette und klicke dann auf das Baufeld, um es zu setzen.","Select a part in the palette, then click the build grid to place it.","Selecciona una pieza en la paleta y luego haz clic en la cuadrícula para colocarla.","Sélectionne une pièce dans la palette puis clique sur la grille pour la placer."

# ── Obere Leiste / Navigation / Tabs ──────────────────────────────────────────
"◎ Menü","◎ Menu","◎ Menú","◎ Menu"
"Menü","Menu","Menú","Menu"
"Strecke","Track","Pista","Circuit"
"Strecke %d","Track %d","Pista %d","Circuit %d"
"Shop","Shop","Tienda","Boutique"
"Werkstatt","Workshop","Taller","Atelier"
"Garage","Garage","Garaje","Garage"
"Erfolge","Achievements","Logros","Succès"
"Statistik","Statistics","Estadísticas","Statistiques"
"Fahrt beenden","End drive","Finalizar recorrido","Terminer la course"
"⏹  Fahrt beenden","⏹  End drive","⏹  Finalizar recorrido","⏹  Terminer la course"
"▶  Fahren!","▶  Drive!","▶  ¡A correr!","▶  Rouler !"
"Lauf jetzt beenden und zur Zusammenfassung","End the run now and go to the summary","Finaliza la ronda ahora y ve al resumen","Termine la manche maintenant et va au résumé"
"LAUF BEENDET","RUN FINISHED","RONDA FINALIZADA","MANCHE TERMINÉE"
"Baumenü öffnen/schließen","Open/close build menu","Abrir/cerrar el menú de construcción","Ouvrir/fermer le menu de construction"
"Baumenü schließen","Close build menu","Cerrar el menú de construcción","Fermer le menu de construction"
"Ausgewähltes Teil um 90° drehen","Rotate the selected part by 90°","Girar la pieza seleccionada 90°","Pivoter la pièce sélectionnée de 90°"
"Strecke bauen und Runde prüfen","Build the track and check the lap","Construir la pista y comprobar la vuelta","Construire le circuit et vérifier le tour"

# ── Streckenbauer: Status ─────────────────────────────────────────────────────
" Strecke gültig"," Track valid"," Pista válida"," Circuit valide"
" Strecke fertig — bereit zum Fahren"," Track complete — ready to drive"," Pista completa — lista para correr"," Circuit terminé — prêt à rouler"
"Keine vollständige Runde möglich","No complete lap possible","No es posible una vuelta completa","Aucun tour complet possible"
"Kein Platz für Rampe","No room for a ramp","No hay espacio para una rampa","Pas de place pour une rampe"
"Kein Platz für Rampe (2 freie Felder in einer Richtung nötig)","No room for a ramp (2 free tiles in one direction needed)","No hay espacio para una rampa (se necesitan 2 casillas libres en una dirección)","Pas de place pour une rampe (2 cases libres dans une direction nécessaires)"
"Kein Platz für Steilwandkurve","No room for a banked curve","No hay espacio para una curva peraltada","Pas de place pour un virage relevé"
